0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
209720,210471,212089,195274,202049,171937,146223,134132,143614,145924,127845,116701,100481,77615,63836,46850,29789,12792,3707,619,51
216892,206686,216471,199164,198520,183058,150177,135646,141762,145030,131486,118365,103091,80719,64559,47279,30479,13336,3952,662,60
220186,203166,217744,201983,198829,190315,152933,137735,138148,144736,135251,118940,105890,83781,65934,47470,31227,14204,4107,739,53
219653,202538,217626,205539,200456,195182,159056,141005,135090,143638,139313,118639,109401,86418,67926,47849,32046,15005,4396,819,40
217884,203821,214640,208230,201235,200879,164596,144474,132686,142466,140668,120143,111873,88976,68103,50162,32305,15579,4607,883,22
210630,209461,209312,212296,200669,204816,169443,146636,131540,140187,141726,122767,113271,92155,69499,52276,33348,16569,4995,949,65
202313,216656,205748,217163,202353,202192,181928,149225,133327,137497,140670,126724,113609,95538,71588,52506,33210,17307,5162,988,86
197026,221417,203560,219124,205869,203743,191858,152110,135361,134448,140830,130358,114086,98645,73982,53270,33724,17884,5570,1058,83
193618,221705,204269,220358,211334,205910,198185,158260,138087,131977,139757,134533,113769,101928,76404,54652,33991,18255,6039,1143,82
192287,220259,207358,218483,216023,208355,204063,165660,140794,130205,138290,137171,115082,104585,79007,55204,35577,18701,6398,1303,105
192981,214141,214716,215032,221717,210420,210438,171652,144691,128219,137880,136447,119446,105255,82764,56040,36945,19248,6962,1420,124
194505,206994,221296,211502,226393,213898,209983,184637,148988,129819,135727,136374,122468,106801,86009,58444,37801,19431,7337,1489,157
195970,201548,224802,208100,226987,216114,211278,194619,152424,132720,132501,136561,125987,107112,88948,61216,38935,19695,7598,1620,175
197872,197349,224680,207402,226505,219231,212742,200378,158657,136625,129761,135990,130373,106693,92085,63937,40441,20050,7914,1848,113
200609,195189,223119,209185,224979,223438,213942,207420,165181,140638,127695,135321,132950,107631,94255,66578,41278,21446,8220,2089,96
202032,196028,216825,215706,220572,228009,216414,213278,171925,143907,127858,134028,134181,112026,95771,69568,42510,22993,8442,2183,280
203705,198769,209946,224434,219422,233772,221113,212805,185551,147515,130281,132686,134065,115893,97372,72217,44476,23397,8689,2252,310
206094,201885,206361,229550,218916,238727,226198,216118,196195,151501,133444,130879,134324,120192,97642,74748,46248,24009,8871,2223,332
207639,204353,203410,230169,218267,240867,230661,218875,203157,158185,136830,128919,133827,124799,97383,77671,47921,24861,9037,2289,356
208635,206559,201335,227744,220162,239519,235204,221565,209285,165279,140116,127480,133460,126573,98919,79476,49719,25077,9470,2173,379
