0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
45226,41644,42277,40336,40237,40260,40117,42383,43375,44336,44030,42494,42930,41998,40637,39555,39130,38779,39194,38616,38979,39905,39416,40419,43330,36871,36355,35060,31939,31712,31066,28778,29738,28420,28221,28262,26941,25451,26577,26901,29811,27144,29280,29137,28242,29539,29843,28824,29084,28634,29857,24920,24554,24195,24319,23822,24334,23529,23023,21993,23365,19691,20076,19172,18177,17869,16203,15032,14763,13748,15436,13863,11946,11460,11131,10964,9934,9181,8893,7878,7760,6317,5983,5360,4369,3751,3143,2444,1900,1554,1226,934,661,520,366,241,152,93,81,52,51
47041,45306,41806,42315,40424,40287,40198,40218,42545,43438,44414,44221,42723,42969,42144,40700,39697,39414,39332,40021,39262,39344,40084,39707,40123,42763,36934,36146,35212,32003,31720,31099,29038,29601,28719,28325,28356,26707,25710,26548,26735,29598,27311,28946,29172,28243,29674,29363,28875,28875,28574,29375,25108,24292,24137,24172,23888,23982,23476,22847,21935,23006,19641,19611,18898,17854,17638,15903,14896,14428,13379,15023,13595,11499,11063,10571,10443,9320,8676,8269,7336,7150,5854,5396,4743,3810,3241,2654,2069,1562,1269,1000,750,526,407,272,181,102,54,53,60
44022,46740,45383,41841,42200,40317,40135,40015,40165,42534,43366,44400,44301,42806,42871,42162,40658,39763,39662,39738,40408,39373,39409,40030,39609,39795,42858,36765,35721,35176,31892,31566,30962,29160,29353,28886,28304,28314,26363,25868,26412,26472,29309,27396,28559,29147,28182,29738,28838,28831,28645,28490,28871,25233,24012,24034,23969,23913,23618,23406,22677,21867,22627,19577,19142,18633,17507,17378,15563,14700,14078,12983,14554,13286,11033,10633,9997,9962,8742,8136,7676,6851,6546,5346,4808,4138,3292,2806,2266,1702,1254,1043,802,593,415,311,194,134,65,35,53
41192,44073,46745,45615,42028,42175,40281,40037,39888,40157,42585,43335,44432,44385,42889,42737,42161,40627,39965,40049,40148,40816,39644,39766,40082,39519,40306,43139,36798,35420,35272,31917,31508,30967,29392,29140,29076,28323,28377,26089,26065,26308,26199,29023,27495,28190,29136,28142,29856,28314,28786,28402,28394,28351,25380,23753,23956,23751,23942,23237,23336,22553,21778,22225,19509,18687,18334,17139,17075,15183,14515,13746,12596,14106,12963,10560,10233,9473,9472,8111,7606,7151,6398,5976,4915,4267,3571,2830,2443,1894,1415,1046,855,635,445,313,225,146,96,39,40
40101,41364,44074,46616,45729,42077,42079,40131,39870,39664,40058,42585,43270,44348,44379,42916,42597,42161,40562,39994,40145,40157,41016,39873,40044,40226,39784,40754,43382,36733,35078,35350,31887,31375,30906,29608,28912,29255,28329,28370,25735,26187,26177,25901,28686,27564,27736,29110,28078,29978,27798,28746,28083,28237,27804,25480,23418,23858,23490,23897,22811,23247,22371,21674,21770,19368,18159,17989,16723,16737,14780,14311,13355,12111,13546,12560,10016,9741,8883,8962,7457,7054,6541,5885,5368,4432,3715,3029,2363,2040,1527,1126,812,667,475,317,234,144,107,81,22
38642,39727,41636,44118,46507,45846,42091,41896,39965,39663,39382,39962,42544,43149,44275,44363,42898,42439,42164,40432,39854,39992,40055,40942,39826,40109,40294,39961,40991,43461,36533,34727,35271,31739,31173,30762,29656,28543,29363,28312,28307,25356,26308,25994,25575,28317,27573,27292,29039,27966,29989,27194,28668,27790,28085,27235,25518,23116,23678,23220,23889,22459,23207,22169,21547,21307,19276,17638,17632,16302,16428,14416,14100,12944,11611,12958,12152,9545,9306,8315,8486,6912,6557,5993,5400,4786,4004,3229,2582,1968,1675,1231,909,655,525,365,239,167,98,80,65
37759,38700,39876,41846,44132,46504,45916,42126,42016,40094,39864,39622,40284,42662,43316,44367,44415,43075,42741,42565,40783,40141,40205,40188,41036,40014,40540,40437,40152,41049,43468,36540,35054,35163,31703,31160,30895,29434,28667,29069,28046,28006,25378,26012,25885,25606,28353,27334,27384,28820,27824,29558,27319,28342,27627,27857,27313,25137,23011,23406,23075,23528,22384,22820,21802,21149,20956,18838,17441,17154,15858,15882,14074,13441,12333,11114,12304,11456,9000,8632,7728,7790,6380,5955,5357,4791,4199,3413,2751,2153,1622,1371,988,695,486,381,267,168,109,63,86
38044,37905,38997,40074,42006,44134,46583,46175,42284,42241,40292,40122,39867,40551,42728,43481,44492,44480,43479,43192,42983,41276,40511,40637,40462,41262,40432,41066,40599,40384,41141,43496,36677,35475,35069,31719,31223,31056,29210,28902,28827,27812,27710,25393,25619,25707,25654,28431,27145,27511,28590,27658,29120,27450,28012,27461,27645,27484,24843,22925,23174,22979,23203,22333,22397,21445,20833,20664,18454,17249,16717,15454,15313,13679,12819,11745,10677,11647,10761,8440,8028,7246,7177,5901,5372,4755,4239,3653,2909,2328,1797,1337,1108,795,533,367,285,205,124,77,83
37739,38189,38193,39266,40231,42173,44095,46618,46373,42446,42466,40512,40375,40122,40794,42826,43736,44776,44892,44128,43732,43406,41818,41174,41204,40929,41676,40856,41594,40855,40700,41247,43552,36814,35872,35006,31715,31281,31254,29004,29056,28562,27558,27460,25451,25324,25537,25681,28493,26942,27639,28330,27516,28694,27578,27698,27338,27402,27586,24509,22833,22939,22902,22845,22250,21973,21076,20460,20365,18054,17046,16273,15006,14776,13303,12174,11138,10246,11044,10050,7883,7435,6747,6535,5391,4756,4178,3709,3186,2426,1927,1486,1092,885,649,414,283,213,142,91,82
37813,37951,38459,38529,39535,40462,42350,44078,46727,46642,42730,42804,40793,40646,40385,41096,42995,44041,45105,45246,44559,44009,43634,42190,41631,41662,41298,42025,41247,42123,41073,41043,41410,43607,36930,36218,34965,31695,31340,31442,28780,29172,28272,27340,27230,25503,25016,25403,25718,28565,26758,27762,28093,27376,28301,27714,27384,27198,27166,27709,24231,22786,22704,22822,22539,22155,21586,20723,20058,20063,17661,16846,15809,14516,14175,12927,11548,10561,9771,10397,9357,7337,6807,6207,5869,4924,4206,3639,3201,2731,1987,1593,1227,878,713,523,312,220,153,95,105
