0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+
220030,222074,223363,203664,213975,185151,157147,143339,153477,151574,127312,114291,92147,68480,45549,28159,16226,6160,1426,225,15
226378,218403,227889,207840,209716,196637,161559,144222,152512,150703,131793,115001,94985,70566,47061,28105,16323,6297,1476,223,23
229586,214646,229676,210308,207932,203644,164421,145952,148173,151555,136295,114883,97663,72670,48522,27892,16475,6444,1550,220,20
229556,213207,230217,213993,207993,207134,170504,149326,144247,151924,141073,114144,100271,74922,50668,28360,16225,6712,1678,241,23
228162,214396,227767,216868,205612,210118,175388,153097,141151,151875,142501,115516,102497,76720,51662,29804,15852,6795,1734,256,13
219653,219324,222038,221477,203928,210384,180036,155485,139230,150111,143830,119281,103430,78942,53334,31580,15759,7088,1749,290,29
211172,226086,217873,227233,206381,206423,191443,157744,140549,146533,144151,122336,104313,81441,55261,32282,15597,7162,1788,300,30
205704,230807,214621,229541,210728,206901,200198,160323,142467,142687,144679,126634,104797,83880,57118,33410,15795,7251,1891,327,25
201714,231941,214239,230989,217186,208722,205536,166241,145043,139346,144787,131122,103822,86740,59066,34795,16104,7075,2044,338,24
200355,230573,217208,228828,222805,212001,211125,172814,148356,137025,143716,134005,104722,89490,60994,35800,17111,7137,2160,362,30
201867,223479,224114,226185,228767,215184,217927,178692,152137,135514,143064,134907,107362,91091,63168,37083,18095,7117,2218,361,19
204247,216384,230654,222914,234193,218346,216672,192353,156809,137227,141543,135411,111577,91810,65869,38752,18868,7212,2292,365,29
206719,210283,234512,218949,235345,220431,215996,203089,160403,140178,138465,136943,116434,91948,68299,40333,19816,7238,2261,367,40
208612,205866,234914,217884,235558,222960,215902,208920,166961,143605,135751,137860,121592,91386,71131,42152,20826,7383,2329,467,24
210812,204166,233774,219899,234483,228369,215056,215866,173238,148465,133594,138168,124655,92721,73381,44235,21521,7956,2328,551,15
211978,205612,227319,225854,230126,232913,217404,220857,181363,152164,133614,137862,126988,96881,75136,46617,22728,8659,2286,576,53
213506,208685,220139,234859,228019,238533,222240,217980,195329,155652,136168,136162,128002,101228,76734,48482,24181,9099,2435,561,72
